,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
58,0001275283,REYNOLDS AMERICAN INC,615765,NYSE,RAI,2111,Cigarettes
59,0000093751,STATE STREET CORP,6697,NYSE,STT,6022,State Commercial Banks
60,0001060009,"KINDRED HEALTHCARE, INC",4332,NYSE,KND,8050,Nursing And Personal Care Facilities
61,0001163165,CONOCOPHILLIPS,93916,NYSE,COP,2911,Petroleum Refining
62,0000706698,UTAH MEDICAL PRODUCTS INC,7497,Nasdaq Global Market,UTMD,3841,Surgical and Medical Instruments and Apparatus
63,0001173431,TD AMERITRADE HOLDING CORP,110430,Nasdaq Global Market,AMTD,6211,"Security Brokers, Dealers, and Flotation Companies"
64,0000004457,AMERCO /NV/,11171,Nasdaq Global Market,UHAL,7510,"Automotive Rental And Leasing, Without Drivers"
65,0000046619,HEICO CORP,7163,NYSE,HEI,3724,Aircraft Engines and Engine Parts
66,0000934648,SPEEDWAY MOTORSPORTS INC,7131,NYSE,TRK,7948,"Racing, Including Track Operation"
67,0000048287,HNI CORP,6373,NYSE,HNI,2522,"Office Furniture, Except Wood"
68,0000008411,ATWOOD OCEANICS INC,9793,NYSE,ATW,1381,Drilling Oil and Gas Wells
69,0001133421,NORTHROP GRUMMAN CORP /DE/,82719,NYSE,NOC,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
70,0000827052,EDISON INTERNATIONAL,2108,NYSE,EIX,4911,Electric Services
71,0000918646,EAGLE MATERIALS INC,1301,NYSE,EXP,3241,"Cement, Hydraulic"
72,0000795403,WATTS WATER TECHNOLOGIES INC,7435,NYSE,WTS,3490,Miscellaneous Fabricated Metal Products
73,0001465128,"STARWOOD PROPERTY TRUST, INC.",806124,NYSE,STWD,6798,Real Estate Investment Trusts
74,0000928421,MATTSON TECHNOLOGY INC,2366,Nasdaq Global Market,MTSN,3559,"Special Industry Machinery, Not Elsewhere Classified"
75,0001014473,VERISIGN INC/CA,11412,Nasdaq Global Market,VRSN,7371,Computer Programming Services
76,0000065984,ENTERGY CORP /DE/,8041,NYSE,ETR,4911,Electric Services
77,0001374310,"CBOE HOLDINGS, INC.",733051,Nasdaq Global Market,CBOE,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
78,0001390777,BANK OF NEW YORK MELLON CORP,736081,NYSE,BK,6022,State Commercial Banks
79,0001092796,SMITH & WESSON HOLDING CORP,71106,Nasdaq Global Market,SWHC,3480,"Ordnance And Accessories, Except Vehicles And"
80,0001045309,W R GRACE & CO,49778,NYSE,GRA,2800,Chemicals & Allied Products
81,0001378992,BERRY PLASTICS GROUP INC,724283,NYSE,BERY,3089,"Plastics Products, Not Elsewhere Classified"
82,0000842023,BIO-TECHNE CORP,2136,Nasdaq Global Market,TECH,2836,"Biological Products, Except Diagnostic Substances"
83,0000319815,MAXWELL TECHNOLOGIES INC,11901,Nasdaq Global Market,MXWL,3690,"Miscellaneous Electrical Machinery, Equipment,"
84,0001487730,"SPECTRUM BRANDS HOLDINGS, INC.",824852,NYSE,SPB,3690,"Miscellaneous Electrical Machinery, Equipment,"
85,0001050915,QUANTA SERVICES INC,9937,NYSE,PWR,1731,Electrical Work
86,0001623613,MYLAN N.V.,948654,Nasdaq Global Market,MYL,2834,Pharmaceutical Preparations
87,0000059255,VALHI INC /DE/,1139,NYSE,VHI,2810,Industrial Inorganic Chemicals
88,0000857005,PTC INC.,3438,Nasdaq Global Market,PTC,7372,Prepackaged Software
89,0000765880,"HCP, INC.",10122,NYSE,HCP,6798,Real Estate Investment Trusts
90,0000040987,GENUINE PARTS CO,3812,NYSE,GPC,5013,Motor Vehicle Supplies and New Parts
91,0000914156,UFP TECHNOLOGIES INC,2223,Nasdaq Capital Market,UFPT,3086,Plastics Foam Products
92,0001171825,CIT GROUP INC,108199,NYSE,CIT,6172,Finance Lessors
93,0000080172,NATIONAL PRESTO INDUSTRIES INC,11182,NYSE,NPK,3480,"Ordnance And Accessories, Except Vehicles And"
94,0000785786,PLEXUS CORP,3326,Nasdaq Global Market,PLXS,3672,Printed Circuit Boards
95,0001585364,PERRIGO CO PLC,914281,NYSE,PRGO,2834,Pharmaceutical Preparations
96,0001316625,SILICON GRAPHICS INTERNATIONAL CORP,663281,Nasdaq Global Market,SGI,3571,Electronic Computers
97,0000067347,MODINE MANUFACTURING CO,10290,NYSE,MOD,3714,Motor Vehicle Parts and Accessories
98,0001275014,"ULTRA CLEAN HOLDINGS, INC.",615187,Nasdaq Global Market,UCTT,3674,Semiconductors and Related Devices
99,0001417398,"HILLENBRAND, INC.",761243,NYSE,HI,3990,Miscellaneous Manufacturing Industries
100,0001588238,RICE ENERGY INC.,922398,NYSE,RICE,1311,Crude Petroleum and Natural Gas
101,0001307954,HUNTSMAN CORP,656099,NYSE,HUN,2800,Chemicals & Allied Products
102,0001039065,OSI SYSTEMS INC,5932,Nasdaq Global Market,OSIS,3674,Semiconductors and Related Devices
103,0000091440,SNAP-ON INC,6579,NYSE,SNA,3420,"Cutlery, Handtools, And General Hardware"
104,0000072331,NORDSON CORP,10478,Nasdaq Global Market,NDSN,3569,"General Industrial Machinery and Equipment, Not Elsewhere"
105,0001571123,SCIENCE APPLICATIONS INTERNATIONAL CORP,901315,NYSE,SAIC,7373,Computer Integrated Systems Design
106,0000078003,PFIZER INC,5709,NYSE,PFE,2834,Pharmaceutical Preparations
107,0001142596,NUVASIVE INC,150658,Nasdaq Global Market,NUVA,3841,Surgical and Medical Instruments and Apparatus
108,0001101302,ENTEGRIS INC,70387,Nasdaq Global Market,ENTG,3089,"Plastics Products, Not Elsewhere Classified"
109,0000865436,WHOLE FOODS MARKET INC,10959,Nasdaq Global Market,WFM,5411,Grocery Stores
110,0001066119,TELEFONICA BRASIL S.A.,55272,NYSE,VIV,4813,"Telephone Communications, Except Radiotelephone"
111,0001364250,DOUGLAS EMMETT INC,712303,NYSE,DEI,6798,Real Estate Investment Trusts
112,0001504008,"BANKUNITED, INC.",840262,NYSE,BKU,6035,"Savings Institutions, Federally Chartered"
113,0000790051,CARLISLE COMPANIES INC,8407,NYSE,CSL,3060,"Fabricated Rubber Products, Not Elsewhere"
114,0001357204,"DUNKIN' BRANDS GROUP, INC.",703168,Nasdaq Global Market,DNKN,5810,Eating And Drinking Places
115,0000945841,POOL CORP,368,Nasdaq Global Market,POOL,5090,Miscellaneous Durable Goods
116,0001060822,CARTERS INC,51228,NYSE,CRI,2300,Apparel & Other Finishd Prods of Fabrics & Similar Matl
117,0001019849,"PENSKE AUTOMOTIVE GROUP, INC.",7471,NYSE,PAG,5500,Retail-Auto Dealers & Gasoline Stations
118,0000072333,NORDSTROM INC,3213,NYSE,JWN,5651,Family Clothing Stores
119,0000708821,PAR TECHNOLOGY CORP,3059,NYSE,PAR,3578,"Calculating and Accounting Machines, Except Electronic Computers"
120,0000866273,MATRIX SERVICE CO,6540,Nasdaq Global Market,MTRX,1700,Construction - Special Trade Contractors
121,0000897429,CHICOS FAS INC,785,NYSE,CHS,5621,Women's Clothing Stores
122,0001439095,MRC GLOBAL INC.,785894,NYSE,MRC,5084,Industrial Machinery and Equipment
123,0000764065,CLIFFS NATURAL RESOURCES INC.,7866,NYSE,CLF,1000,Metal Mining
124,0001345016,YELP INC,691649,NYSE,YELP,7200,Services-Personal Services
125,0001405495,"INTERDIGITAL, INC.",750132,Nasdaq Global Market,IDCC,6794,Patent Owners and Lessors
126,0000034903,FEDERAL REALTY INVESTMENT TRUST,7581,NYSE,FRT,6798,Real Estate Investment Trusts
127,0000352915,UNIVERSAL HEALTH SERVICES INC,10401,NYSE,UHS,8062,General Medical and Surgical Hospitals
128,0000743238,SPARTAN MOTORS INC,6930,Nasdaq Global Market,SPAR,3711,Motor Vehicles and Passenger Car Bodies
129,0000052988,JACOBS ENGINEERING GROUP INC /DE/,8259,NYSE,JEC,1600,Heavy Construction Other Than Bldg Const - Contractors
130,0001069183,TASER INTERNATIONAL INC,83952,Nasdaq Global Market,TASR,3480,"Ordnance And Accessories, Except Vehicles And"
131,0000072573,MOVADO GROUP INC,9376,NYSE,MOV,3873,"Watches, Clocks, Clockwork Operated Devices, and Parts"
132,0000882835,ROPER TECHNOLOGIES INC,2292,NYSE,ROP,3823,"Industrial Instruments for Measurement, Display, and Control of "
133,0001564822,PINNACLE FOODS INC.,895559,NYSE,PF,2000,Food and kindred products
134,0001378946,"PEOPLE'S UNITED FINANCIAL, INC.",725280,Nasdaq Global Market,PBCT,6035,"Savings Institutions, Federally Chartered"
135,0000814184,TCF FINANCIAL CORP,5647,NYSE,TCB,6021,National Commercial Banks
136,0000842162,LEAR CORP,8673,NYSE,LEA,3714,Motor Vehicle Parts and Accessories
137,0000070858,BANK OF AMERICA CORP /DE/,15519,NYSE,BAC,6021,National Commercial Banks
138,0000088121,SEABOARD CORP /DE/,9484,NYSE MKT,SEB,6221,Commodity Contracts Brokers and Dealers
139,0000712515,ELECTRONIC ARTS INC.,12010,Nasdaq Global Market,EA,7372,Prepackaged Software
140,0001394029,YINGLI GREEN ENERGY HOLDING CO LTD,743769,NYSE,YGE,3674,Semiconductors and Related Devices
141,0001113169,PRICE T ROWE GROUP INC,76009,Nasdaq Global Market,TROW,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
142,0001059556,MOODYS CORP /DE/,50902,NYSE,MCO,7320,"Consumer Credit Reporting Agencies, Mercantile"
143,0001022671,STEEL DYNAMICS INC,2026,Nasdaq Global Market,STLD,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
144,0001116942,TTM TECHNOLOGIES INC,77054,Nasdaq Global Market,TTMI,3672,Printed Circuit Boards
145,0001317630,ITC HOLDINGS CORP.,668827,NYSE,ITC,4911,Electric Services
146,0001498828,HOWARD HUGHES CORP,835738,NYSE,HHC,6798,Real Estate Investment Trusts
147,0000929351,LIONS GATE ENTERTAINMENT CORP /CN/,3205,NYSE,LGF,7812,Motion Picture and Video Tape Production
148,0000036047,"CORELOGIC, INC.",9092,NYSE,CLGX,7374,Computer Processing and Data Preparation and Processing Services
149,0001003078,MSC INDUSTRIAL DIRECT CO INC,26962,NYSE,MSM,5084,Industrial Machinery and Equipment
150,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",408,Nasdaq Global Market,CHTR,4841,Cable and Other Pay Television Services
151,0001075124,THOMSON REUTERS CORP /CAN/,95241,NYSE,TRI,2741,Miscellaneous Publishing
152,0000884940,STEIN MART INC,7092,Nasdaq Global Market,SMRT,5651,Family Clothing Stores
153,0000835011,MGP INGREDIENTS INC,4021,Nasdaq Global Market,MGPI,5180,"Beer, Wine, And Distilled Alcoholic Beverages"
154,0000769520,MIDDLEBY CORP,8427,Nasdaq Global Market,MIDD,3580,Refrigeration And Service Industry Machinery
155,0001326160,DUKE ENERGY CORP,673371,NYSE,DUK,4931,Electric and Other Services Combined
156,0001287151,XERIUM TECHNOLOGIES INC,632127,NYSE,XRM,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk"
157,0001613103,MEDTRONIC PLC,939439,NYSE,MDT,3845,Electromedical and Electrotherapeutic Apparatus
158,0001070985,CORRECTIONS CORP OF AMERICA,55694,NYSE,CXW,6798,Real Estate Investment Trusts
159,0001381197,"INTERACTIVE BROKERS GROUP, INC.",727399,Nasdaq Global Market,IBKR,6211,"Security Brokers, Dealers, and Flotation Companies"
160,0000089140,SERVOTRONICS INC /DE/,2151,NYSE MKT,SVT,3420,"Cutlery, Handtools, And General Hardware"
161,0000045876,HARSCO CORP,526,NYSE,HSC,3440,Fabricated Structural Metal Products
162,0001057058,"WASTE CONNECTIONS, INC.",686,NYSE,WCN,4953,Refuse Systems
163,0001009759,CAPSTONE TURBINE CORP,74469,Nasdaq Capital Market,CPST,3510,Engines And Turbines
164,0000724910,NVE CORP /NEW/,6001,Nasdaq Capital Market,NVEC,3674,Semiconductors and Related Devices
165,0000088941,SEMTECH CORP,6805,Nasdaq Global Market,SMTC,3674,Semiconductors and Related Devices
166,0000857471,LUXOTTICA GROUP SPA,22842,NYSE,LUX,3851,Ophthalmic Goods
167,0000890319,TAUBMAN CENTERS INC,11904,NYSE,TCO,6798,Real Estate Investment Trusts
168,0001423221,QUANEX BUILDING PRODUCTS CORP,767334,NYSE,NX,3350,"Rolling, Drawing, And Extruding Of Nonferrous"
169,0001311370,LAZARD LTD,658380,NYSE,LAZ,6282,Investment Advice
170,0000903127,POST PROPERTIES INC,8569,NYSE,PPS,6798,Real Estate Investment Trusts
171,0000072162,NL INDUSTRIES INC,6409,NYSE,NL,2810,Industrial Inorganic Chemicals
172,0000003570,CHENIERE ENERGY INC,11013,NYSE MKT,LNG,4924,Natural Gas Distribution
173,0001001115,GEOSPACE TECHNOLOGIES CORP,1342,Nasdaq Global Market,GEOS,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
174,0001296445,"ORMAT TECHNOLOGIES, INC.",643611,NYSE,ORA,4911,Electric Services
175,0001032033,SLM CORP,1513,Nasdaq Global Market,SLM,6141,Personal Credit Institutions
176,0001566844,MAZOR ROBOTICS LTD.,906290,Nasdaq Capital Market,MZOR,3841,Surgical and Medical Instruments and Apparatus
177,0000763532,LSI INDUSTRIES INC,4425,Nasdaq Global Market,LYTS,3640,Electric Lighting And Wiring Equipment
178,0000918386,QLOGIC CORP,8007,Nasdaq Global Market,QLGC,3576,Computer Communications Equipment
179,0001037976,JONES LANG LASALLE INC,40355,NYSE,JLL,6531,Real Estate Agents and Managers
180,0001004980,PG&E CORP,3702,NYSE,PCG,4931,Electric and Other Services Combined
181,0000320187,NIKE INC,208,NYSE,NKE,3021,Rubber and Plastics Footwear
182,0001501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",839339,NYSE,HII,3730,Ship And Boat Building And Repairing
183,0001017303,TRANSACT TECHNOLOGIES INC,643,Nasdaq Global Market,TACT,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
184,0001111928,IPG PHOTONICS CORP,81515,Nasdaq Global Market,IPGP,3674,Semiconductors and Related Devices
185,0001294924,INVENSENSE INC,642614,NYSE,INVN,3674,Semiconductors and Related Devices
186,0000068709,MTS SYSTEMS CORP,10052,Nasdaq Global Market,MTSC,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
187,0000058492,LEGGETT & PLATT INC,159,NYSE,LEG,2510,Household Furniture
188,0001594686,WP GLIMCHER INC.,923125,NYSE,WPG,6798,Real Estate Investment Trusts
189,0000717605,HEXCEL CORP /DE/,10448,NYSE,HXL,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto"
190,0000103379,V F CORP,3281,NYSE,VFC,2320,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments"
191,0000773141,MDC HOLDINGS INC,1612,NYSE,MDC,1531,Operative Builders
192,0000749037,ORBOTECH LTD,5947,Nasdaq Global Market,ORBK,3823,"Industrial Instruments for Measurement, Display, and Control of "
193,0000074260,OLD REPUBLIC INTERNATIONAL CORP,3358,NYSE,ORI,6351,Surety Insurance
194,0001078075,NETSCOUT SYSTEMS INC,9102,Nasdaq Global Market,NTCT,7373,Computer Integrated Systems Design
195,0001041859,"CHILDRENS PLACE, INC.",10872,Nasdaq Global Market,PLCE,5651,Family Clothing Stores
196,0000882873,UROLOGIX INC,10491,OTC,ULGX,3845,Electromedical and Electrotherapeutic Apparatus
197,0000070145,NATIONAL FUEL GAS CO,4078,NYSE,NFG,4924,Natural Gas Distribution
198,0000057131,LA-Z-BOY INC,5810,NYSE,LZB,2510,Household Furniture
199,0000906163,NVR INC,2583,NYSE,NVR,1531,Operative Builders
200,0000932787,STMICROELECTRONICS NV,11598,NYSE,STM,3674,Semiconductors and Related Devices
201,0000789019,MICROSOFT CORP,8528,Nasdaq Global Market,MSFT,7372,Prepackaged Software
202,0001216596,NORTEK INC,400153,Nasdaq Global Market,NTK,3634,Electric Housewares and Fans
203,0001244937,ENERNOC INC,412490,Nasdaq Global Market,ENOC,7370,"Computer Programming, Data Processing, And"
204,0001177394,SYNNEX CORP,593939,NYSE,SNX,5045,Computers and Computer Peripheral Equipment and Software
205,0001137411,ROCKWELL COLLINS INC,85443,NYSE,COL,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
206,0001302028,"MANITEX INTERNATIONAL, INC.",648623,Nasdaq Capital Market,MNTX,3559,"Special Industry Machinery, Not Elsewhere Classified"
207,0001463101,"ENPHASE ENERGY, INC.",804337,Nasdaq Global Market,ENPH,3674,Semiconductors and Related Devices
208,0001124610,"VMWARE, INC.",186985,NYSE,VMW,7372,Prepackaged Software
209,0000764622,PINNACLE WEST CAPITAL CORP,10532,NYSE,PNW,4911,Electric Services
210,0000096699,TECHNICAL COMMUNICATIONS CORP,11676,Nasdaq Capital Market,TCCO,3663,Radio and Television Broadcasting and Communications Equipment
211,0000831001,CITIGROUP INC,12025,NYSE,C,6021,National Commercial Banks
212,0000800459,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,6458,NYSE,HAR,3651,Household Audio and Video Equipment
213,0000716643,REGIS CORP,7158,NYSE,RGS,7200,Services-Personal Services
214,0000912767,UNIVERSAL FOREST PRODUCTS INC,9130,Nasdaq Global Market,UFPI,2421,"Sawmills and Planing Mills, General"
215,0001130713,"OVERSTOCK.COM, INC",100011,Nasdaq Global Market,OSTK,5961,Catalog and Mail-Order Houses
216,0000917273,RAMBUS INC,9986,Nasdaq Global Market,RMBS,3674,Semiconductors and Related Devices
217,0000719955,WILLIAMS SONOMA INC,3673,NYSE,WSM,5700,"Retail-Home Furniture, Furnishings & Equipment Stores"
218,0000082811,REGAL BELOIT CORP,10242,NYSE,RBC,3621,Motors and Generators
219,0000746838,UNISYS CORP,3251,NYSE,UIS,7373,Computer Integrated Systems Design
220,0000885639,KOHLS CORP,5997,NYSE,KSS,5311,Department Stores
221,0001101239,EQUINIX INC,70489,Nasdaq Global Market,EQIX,6798,Real Estate Investment Trusts
222,0000927355,TESSCO TECHNOLOGIES INC,10319,Nasdaq Global Market,TESS,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
223,0000912595,MID AMERICA APARTMENT COMMUNITIES INC,1655,NYSE,MAA,6798,Real Estate Investment Trusts
224,0000105634,EMCOR GROUP INC,11063,NYSE,EME,1731,Electrical Work
225,0001636519,MADISON SQUARE GARDEN CO,961488,NYSE,MSG,7990,Miscellaneous Amusement And Recreation
226,0001286681,DOMINOS PIZZA INC,631090,NYSE,DPZ,5140,Groceries And Related Products
227,0001376139,CVR ENERGY INC,721774,NYSE,CVI,2911,Petroleum Refining
228,0000062996,MASCO CORP /DE/,4033,NYSE,MAS,2430,"Millwork, Veneer, Plywood, And Structural Wood"
229,0001633931,TOPBUILD CORP,959450,NYSE,BLD,1700,Construction - Special Trade Contractors
230,0001090012,DEVON ENERGY CORP/DE,65410,NYSE,DVN,1311,Crude Petroleum and Natural Gas
231,0001281761,REGIONS FINANCIAL CORP,624777,NYSE,RF,6021,National Commercial Banks
232,0001065088,EBAY INC,7098,Nasdaq Global Market,EBAY,7389,"Business Services, Not Elsewhere Classified"
233,0001517302,ARTISAN PARTNERS ASSET MANAGEMENT INC.,852162,NYSE,APAM,6282,Investment Advice
234,0001593538,NAVIENT CORP,921805,Nasdaq Global Market,NAVI,6211,"Security Brokers, Dealers, and Flotation Companies"
235,0001164727,NEWMONT MINING CORP /DE/,94761,NYSE,NEM,1040,Gold And Silver Ores
236,0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,3710,NYSE,TEVA,2834,Pharmaceutical Preparations
237,0000807707,VOXX INTERNATIONAL CORP,5672,Nasdaq Global Market,VOXX,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
238,0001395942,"KAR AUCTION SERVICES, INC.",768468,NYSE,KAR,5500,Retail-Auto Dealers & Gasoline Stations
239,0001037016,NII HOLDINGS INC,40639,Nasdaq Global Market,NIHD,4812,Radiotelephone Communications
240,0000075677,PACKAGING CORP OF AMERICA,8647,NYSE,PKG,2650,Paperboard Containers And Boxes
241,0000853816,LANDSTAR SYSTEM INC,926,Nasdaq Global Market,LSTR,4213,"Trucking, Except Local"
242,0000935494,NATIONAL INSTRUMENTS CORP,5023,Nasdaq Global Market,NATI,7372,Prepackaged Software
243,0000812011,VAIL RESORTS INC,3893,NYSE,MTN,7990,Miscellaneous Amusement And Recreation
244,0000813828,CBS CORP,4178,NYSE,CBS,4833,Television Broadcasting Stations
245,0001002135,WESTELL TECHNOLOGIES INC,8419,Nasdaq Global Market,WSTL,3661,Telephone and Telegraph Apparatus
246,0001318084,"CORE-MARK HOLDING COMPANY, INC.",684592,Nasdaq Global Market,CORE,5141,"Groceries, General Line"
247,0001078207,"NAUTILUS, INC.",8951,NYSE,NLS,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
248,0001402606,B COMMUNICATIONS LTD,759224,Nasdaq Global Market,BCOM,4899,"Communications Services, Not Elsewhere Classified"
249,0000945764,DENBURY RESOURCES INC,1056,NYSE,DNR,1311,Crude Petroleum and Natural Gas
250,0000709283,QUANTUM CORP /DE/,1308,NYSE,QTM,3572,Computer Storage Devices
251,0000912242,MACERICH CO,3747,NYSE,MAC,6798,Real Estate Investment Trusts
252,0000860730,"HCA HOLDINGS, INC.",10298,NYSE,HCA,8062,General Medical and Surgical Hospitals
253,0000080424,PROCTER & GAMBLE CO,1341,NYSE,PG,2840,"Soap, Detergents, And Cleaning Preparations;"
