,link,size,filing_date,year,cik
4,https://www.sec.gov/Archives/edgar/data/1474735/000143774915011220/0001437749-15-011220-index.htm,46 KB,2015-05-28,2015,0001474735
7,https://www.sec.gov/Archives/edgar/data/1415336/000119312515208886/0001193125-15-208886-index.htm,42 KB,2015-06-01,2015,0001415336
13,https://www.sec.gov/Archives/edgar/data/1415404/000110465915042400/0001104659-15-042400-index.htm,1 MB,2015-06-01,2015,0001415404
19,https://www.sec.gov/Archives/edgar/data/96699/000119312515206685/0001193125-15-206685-index.htm,30 KB,2015-05-29,2015,0000096699
25,https://www.sec.gov/Archives/edgar/data/1077688/000118518515001521/0001185185-15-001521-index.htm,38 KB,2015-06-01,2015,0001077688
29,https://www.sec.gov/Archives/edgar/data/769594/000119312515205123/0001193125-15-205123-index.htm,39 KB,2015-05-29,2015,0000769594
35,https://www.sec.gov/Archives/edgar/data/1046179/000119312515202672/0001193125-15-202672-index.htm,92 KB,2015-05-28,2015,0001046179
41,https://www.sec.gov/Archives/edgar/data/72331/000156459015004773/0001564590-15-004773-index.htm,43 KB,2015-06-01,2015,0000072331
43,https://www.sec.gov/Archives/edgar/data/1492658/000119312515206603/0001193125-15-206603-index.htm,44 KB,2015-05-29,2015,0001492658
49,https://www.sec.gov/Archives/edgar/data/1100682/000095010315004136/0000950103-15-004136-index.htm,50 KB,2015-05-27,2015,0001100682
57,https://www.sec.gov/Archives/edgar/data/17843/000110465915042302/0001104659-15-042302-index.htm,35 KB,2015-06-01,2015,0000017843
62,https://www.sec.gov/Archives/edgar/data/1294924/000119312515204287/0001193125-15-204287-index.htm,32 KB,2015-05-28,2015,0001294924
70,https://www.sec.gov/Archives/edgar/data/1021162/000102116215000019/0001021162-15-000019-index.htm,69 KB,2015-06-01,2015,0001021162
74,https://www.sec.gov/Archives/edgar/data/1156388/000119312515208901/0001193125-15-208901-index.htm,40 KB,2015-06-01,2015,0001156388
78,https://www.sec.gov/Archives/edgar/data/1009626/000100962615000066/0001009626-15-000066-index.htm,843 KB,2015-05-28,2015,0001009626
81,https://www.sec.gov/Archives/edgar/data/47307/000004730715000012/0000047307-15-000012-index.htm,11 KB,2015-05-29,2015,0000047307
86,https://www.sec.gov/Archives/edgar/data/1287151/000128715115000061/0001287151-15-000061-index.htm,32 KB,2015-05-29,2015,0001287151
92,https://www.sec.gov/Archives/edgar/data/24741/000114036115022257/0001140361-15-022257-index.htm,156 KB,2015-05-29,2015,0000024741
101,https://www.sec.gov/Archives/edgar/data/884905/000088490515000065/0000884905-15-000065-index.htm,53 KB,2015-05-22,2015,0000884905
107,https://www.sec.gov/Archives/edgar/data/1001250/000110465915042007/0001104659-15-042007-index.htm,24 KB,2015-05-29,2015,0001001250
112,https://www.sec.gov/Archives/edgar/data/99780/000009978015000095/0000099780-15-000095-index.htm,93 KB,2015-05-29,2015,0000099780
118,https://www.sec.gov/Archives/edgar/data/20629/000002062915000041/0000020629-15-000041-index.htm,25 KB,2015-06-01,2015,0000020629
124,https://www.sec.gov/Archives/edgar/data/10795/000119312515206469/0001193125-15-206469-index.htm,55 KB,2015-05-29,2015,0000010795
130,https://www.sec.gov/Archives/edgar/data/1290109/000119312515207736/0001193125-15-207736-index.htm,118 KB,2015-06-01,2015,0001290109
144,https://www.sec.gov/Archives/edgar/data/14930/000001493015000074/0000014930-15-000074-index.htm,96 KB,2015-05-26,2015,0000014930
151,https://www.sec.gov/Archives/edgar/data/108516/000119312515206731/0001193125-15-206731-index.htm,90 KB,2015-05-29,2015,0000108516
159,https://www.sec.gov/Archives/edgar/data/350846/000110465915042311/0001104659-15-042311-index.htm,182 KB,2015-06-01,2015,0000350846
165,https://www.sec.gov/Archives/edgar/data/1296205/000101376215000567/0001013762-15-000567-index.htm,14 KB,2015-05-29,2015,0001296205
171,https://www.sec.gov/Archives/edgar/data/1132924/000119312515173108/0001193125-15-173108-index.htm,22 KB,2015-05-06,2015,0001132924
176,https://www.sec.gov/Archives/edgar/data/1377789/000137778915000052/0001377789-15-000052-index.htm,43 KB,2015-05-27,2015,0001377789
178,https://www.sec.gov/Archives/edgar/data/1331875/000133187515000029/0001331875-15-000029-index.htm,71 KB,2015-06-10,2015,0001331875
186,https://www.sec.gov/Archives/edgar/data/217410/000095015715000501/0000950157-15-000501-index.htm,21 KB,2015-06-01,2015,0000217410
192,https://www.sec.gov/Archives/edgar/data/775158/000110465915041812/0001104659-15-041812-index.htm,62 KB,2015-05-29,2015,0000775158
198,https://www.sec.gov/Archives/edgar/data/719733/000071973315000035/0000719733-15-000035-index.htm,49 KB,2015-05-28,2015,0000719733
209,https://www.sec.gov/Archives/edgar/data/96943/000009694315000109/0000096943-15-000109-index.htm,367 KB,2015-06-01,2015,0000096943
215,https://www.sec.gov/Archives/edgar/data/94049/000119312515201867/0001193125-15-201867-index.htm,14 KB,2015-05-27,2015,0000094049
221,https://www.sec.gov/Archives/edgar/data/746598/000074659815000087/0000746598-15-000087-index.htm,272 KB,2015-06-01,2015,0000746598
227,https://www.sec.gov/Archives/edgar/data/1096056/000090342315000363/0000903423-15-000363-index.htm,18 KB,2015-05-29,2015,0001096056
233,https://www.sec.gov/Archives/edgar/data/718877/000110465915042522/0001104659-15-042522-index.htm,34 KB,2015-06-01,2015,0000718877
239,https://www.sec.gov/Archives/edgar/data/34088/000003408815000025/0000034088-15-000025-index.htm,35 KB,2015-05-28,2015,0000034088
248,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000169/0001093557-15-000169-index.htm,83 KB,2015-06-01,2015,0001093557
254,https://www.sec.gov/Archives/edgar/data/1030894/000110465915040359/0001104659-15-040359-index.htm,381 KB,2015-05-22,2015,0001030894
261,https://www.sec.gov/Archives/edgar/data/831259/000083125915000030/0000831259-15-000030-index.htm,42 KB,2015-05-29,2015,0000831259
267,https://www.sec.gov/Archives/edgar/data/47217/000110465915041583/0001104659-15-041583-index.htm,462 KB,2015-05-28,2015,0000047217
273,https://www.sec.gov/Archives/edgar/data/49728/000004972815000089/0000049728-15-000089-index.htm,40 KB,2015-05-29,2015,0000049728
283,https://www.sec.gov/Archives/edgar/data/6845/000119312515205744/0001193125-15-205744-index.htm,53 KB,2015-05-29,2015,0000006845
285,https://www.sec.gov/Archives/edgar/data/1371541/000119312515218628/0001193125-15-218628-index.htm,17 KB,2015-06-10,2015,0001371541
291,https://www.sec.gov/Archives/edgar/data/1383395/000119312515168958/0001193125-15-168958-index.htm,96 KB,2015-05-04,2015,0001383395
297,https://www.sec.gov/Archives/edgar/data/883902/000114420415034332/0001144204-15-034332-index.htm,28 KB,2015-05-29,2015,0000883902
304,https://www.sec.gov/Archives/edgar/data/784199/000119312515206648/0001193125-15-206648-index.htm,52 KB,2015-05-29,2015,0000784199
310,https://www.sec.gov/Archives/edgar/data/1122976/000119312515208244/0001193125-15-208244-index.htm,38 KB,2015-06-01,2015,0001122976
318,https://www.sec.gov/Archives/edgar/data/21510/000002151015000018/0000021510-15-000018-index.htm,259 KB,2015-06-02,2015,0000021510
324,https://www.sec.gov/Archives/edgar/data/806172/000117152015000367/0001171520-15-000367-index.htm,24 KB,2015-06-05,2015,0000806172
338,https://www.sec.gov/Archives/edgar/data/746838/000074683815000011/0000746838-15-000011-index.htm,34 KB,2015-06-01,2015,0000746838
344,https://www.sec.gov/Archives/edgar/data/829224/000082922415000022/0000829224-15-000022-index.htm,1 MB,2015-06-01,2015,0000829224
352,https://www.sec.gov/Archives/edgar/data/1043337/000114420415034412/0001144204-15-034412-index.htm,96 KB,2015-05-29,2015,0001043337
358,https://www.sec.gov/Archives/edgar/data/1142596/000119312515204178/0001193125-15-204178-index.htm,32 KB,2015-05-28,2015,0001142596
361,https://www.sec.gov/Archives/edgar/data/885074/000119312515209063/0001193125-15-209063-index.htm,24 KB,2015-06-01,2015,0000885074
368,https://www.sec.gov/Archives/edgar/data/97745/000119312515209588/0001193125-15-209588-index.htm,123 KB,2015-06-02,2015,0000097745
369,https://www.sec.gov/Archives/edgar/data/97745/000119312515206828/0001193125-15-206828-index.htm,93 KB,2015-05-29,2015,0000097745
375,https://www.sec.gov/Archives/edgar/data/80420/000119312515208231/0001193125-15-208231-index.htm,274 KB,2015-06-01,2015,0000080420
381,https://www.sec.gov/Archives/edgar/data/61004/000006100415000025/0000061004-15-000025-index.htm,40 KB,2015-06-01,2015,0000061004
387,https://www.sec.gov/Archives/edgar/data/1489096/000148909615000046/0001489096-15-000046-index.htm,37 KB,2015-06-01,2015,0001489096
393,https://www.sec.gov/Archives/edgar/data/814453/000081445315000090/0000814453-15-000090-index.htm,78 KB,2015-05-28,2015,0000814453
399,https://www.sec.gov/Archives/edgar/data/832988/000119312515203717/0001193125-15-203717-index.htm,98 KB,2015-05-28,2015,0000832988
404,https://www.sec.gov/Archives/edgar/data/310568/000031056815000121/0000310568-15-000121-index.htm,40 KB,2015-06-01,2015,0000310568
407,https://www.sec.gov/Archives/edgar/data/753568/000143774915011563/0001437749-15-011563-index.htm,47 KB,2015-06-01,2015,0000753568
