,link,size,accession_number,filing_date,year,cik,conformed_name,n_documents_in_filing,documents_in_filing_names
3,https://www.sec.gov/Archives/edgar/data/1474735/000143774916033079/0001437749-16-033079-index.htm,47 KB,0001437749-16-033079,2016-05-31,2016,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
6,https://www.sec.gov/Archives/edgar/data/1415336/000119312516608102/0001193125-16-608102-index.htm,43 KB,0001193125-16-608102,2016-05-31,2016,0001415336,Zeltiq Aesthetics Inc,3,"['SD', 'EX-1.01', 'Complete submission text file']"
12,https://www.sec.gov/Archives/edgar/data/1415404/000141540416000017/0001415404-16-000017-index.htm,1 MB,0001415404-16-000017,2016-05-26,2016,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
18,https://www.sec.gov/Archives/edgar/data/96699/000114420416105866/0001144204-16-105866-index.htm,40 KB,0001144204-16-105866,2016-05-31,2016,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
28,https://www.sec.gov/Archives/edgar/data/769594/000119312516607105/0001193125-16-607105-index.htm,38 KB,0001193125-16-607105,2016-05-31,2016,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
34,https://www.sec.gov/Archives/edgar/data/1046179/000119312516604920/0001193125-16-604920-index.htm,112 KB,0001193125-16-604920,2016-05-27,2016,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,4,"['FORM SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
40,https://www.sec.gov/Archives/edgar/data/72331/000156459016020172/0001564590-16-020172-index.htm,205 KB,0001564590-16-020172,2016-05-31,2016,0000072331,NORDSON CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
48,https://www.sec.gov/Archives/edgar/data/1100682/000095010316013763/0000950103-16-013763-index.htm,51 KB,0000950103-16-013763,2016-05-31,2016,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
61,https://www.sec.gov/Archives/edgar/data/1294924/000119312516606438/0001193125-16-606438-index.htm,81 KB,0001193125-16-606438,2016-05-27,2016,0001294924,InvenSense Inc,3,"['SD', 'EX-1.01', 'Complete submission text file']"
69,https://www.sec.gov/Archives/edgar/data/1021162/000102116216000064/0001021162-16-000064-index.htm,70 KB,0001021162-16-000064,2016-05-31,2016,0001021162,TRIUMPH GROUP INC,3,"['SD - DECEMBER 31, 2015', 'EXHIBIT 1.01 - CONFLICT MINERALS REPORT', 'Complete submission text file']"
