,link,size,filing_date,year,cik,conformed_name
5,https://www.sec.gov/Archives/edgar/data/1474735/000114036114023885/0001140361-14-023885-index.htm,46 KB,2014-06-02,2014,0001474735,GENERAC HOLDINGS INC.
8,https://www.sec.gov/Archives/edgar/data/1415336/000144530514002420/0001445305-14-002420-index.htm,54 KB,2014-05-30,2014,0001415336,Zeltiq Aesthetics Inc
14,https://www.sec.gov/Archives/edgar/data/1415404/000110465914043397/0001104659-14-043397-index.htm,71 KB,2014-06-02,2014,0001415404,EchoStar CORP
20,https://www.sec.gov/Archives/edgar/data/96699/000119312514222281/0001193125-14-222281-index.htm,29 KB,2014-06-02,2014,0000096699,TECHNICAL COMMUNICATIONS CORP
26,https://www.sec.gov/Archives/edgar/data/1077688/000118518514001487/0001185185-14-001487-index.htm,37 KB,2014-06-02,2014,0001077688,HOOKER FURNITURE CORP
30,https://www.sec.gov/Archives/edgar/data/769594/000119312514218202/0001193125-14-218202-index.htm,40 KB,2014-05-30,2014,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP
36,https://www.sec.gov/Archives/edgar/data/1046179/000119312514216000/0001193125-14-216000-index.htm,29 KB,2014-05-29,2014,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
42,https://www.sec.gov/Archives/edgar/data/72331/000119312514221228/0001193125-14-221228-index.htm,48 KB,2014-06-02,2014,0000072331,NORDSON CORP
44,https://www.sec.gov/Archives/edgar/data/1492658/000119312514222185/0001193125-14-222185-index.htm,44 KB,2014-06-02,2014,0001492658,Wright Medical Group N.V.
50,https://www.sec.gov/Archives/edgar/data/1100682/000095010314003762/0000950103-14-003762-index.htm,42 KB,2014-05-30,2014,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
58,https://www.sec.gov/Archives/edgar/data/17843/000110465914043190/0001104659-14-043190-index.htm,31 KB,2014-06-02,2014,0000017843,CARPENTER TECHNOLOGY CORP
59,https://www.sec.gov/Archives/edgar/data/13239/000001323914000026/0000013239-14-000026-index.htm,49 KB,2014-05-29,2014,0000013239,HEXION INC.
63,https://www.sec.gov/Archives/edgar/data/1294924/000119312514222143/0001193125-14-222143-index.htm,31 KB,2014-06-02,2014,0001294924,InvenSense Inc
71,https://www.sec.gov/Archives/edgar/data/1021162/000102116214000020/0001021162-14-000020-index.htm,78 KB,2014-06-02,2014,0001021162,TRIUMPH GROUP INC
75,https://www.sec.gov/Archives/edgar/data/1156388/000119312514221732/0001193125-14-221732-index.htm,45 KB,2014-06-02,2014,0001156388,BIG 5 SPORTING GOODS Corp
79,https://www.sec.gov/Archives/edgar/data/1009626/000100962614000065/0001009626-14-000065-index.htm,650 KB,2014-05-29,2014,0001009626,BROCADE COMMUNICATIONS SYSTEMS INC
82,https://www.sec.gov/Archives/edgar/data/47307/000004730714000013/0000047307-14-000013-index.htm,11 KB,2014-05-30,2014,0000047307,CRAWFORD UNITED Corp
87,https://www.sec.gov/Archives/edgar/data/1287151/000128715114000033/0001287151-14-000033-index.htm,32 KB,2014-06-02,2014,0001287151,XERIUM TECHNOLOGIES INC
93,https://www.sec.gov/Archives/edgar/data/24741/000114036114023904/0001140361-14-023904-index.htm,71 KB,2014-06-02,2014,0000024741,CORNING INC /NY
102,https://www.sec.gov/Archives/edgar/data/884905/000088490514000072/0000884905-14-000072-index.htm,46 KB,2014-06-02,2014,0000884905,PRAXAIR INC
113,https://www.sec.gov/Archives/edgar/data/99780/000009978014000082/0000099780-14-000082-index.htm,77 KB,2014-06-02,2014,0000099780,TRINITY INDUSTRIES INC
119,https://www.sec.gov/Archives/edgar/data/20629/000002062914000039/0000020629-14-000039-index.htm,24 KB,2014-06-02,2014,0000020629,CSS INDUSTRIES INC
125,https://www.sec.gov/Archives/edgar/data/10795/000119312514219287/0001193125-14-219287-index.htm,41 KB,2014-05-30,2014,0000010795,BECTON DICKINSON & CO
131,https://www.sec.gov/Archives/edgar/data/1290109/000119312514220818/0001193125-14-220818-index.htm,38 KB,2014-06-02,2014,0001290109,"LG Display Co., Ltd."
139,https://www.sec.gov/Archives/edgar/data/55529/000119312514217242/0001193125-14-217242-index.htm,20 KB,2014-05-29,2014,0000055529,KEWAUNEE SCIENTIFIC CORP /DE/
145,https://www.sec.gov/Archives/edgar/data/14930/000001493014000088/0000014930-14-000088-index.htm,95 KB,2014-06-02,2014,0000014930,BRUNSWICK CORP
152,https://www.sec.gov/Archives/edgar/data/108516/000119312514218912/0001193125-14-218912-index.htm,27 KB,2014-05-30,2014,0000108516,WORTHINGTON INDUSTRIES INC
160,https://www.sec.gov/Archives/edgar/data/350846/000110465914043294/0001104659-14-043294-index.htm,51 KB,2014-06-02,2014,0000350846,SUPREME INDUSTRIES INC
