,link,size,filing_date,year,cik
3,https://www.sec.gov/Archives/edgar/data/1474735/000143774916033079/0001437749-16-033079-index.htm,47 KB,2016-05-31,2016,0001474735
6,https://www.sec.gov/Archives/edgar/data/1415336/000119312516608102/0001193125-16-608102-index.htm,43 KB,2016-05-31,2016,0001415336
12,https://www.sec.gov/Archives/edgar/data/1415404/000141540416000017/0001415404-16-000017-index.htm,1 MB,2016-05-26,2016,0001415404
18,https://www.sec.gov/Archives/edgar/data/96699/000114420416105866/0001144204-16-105866-index.htm,40 KB,2016-05-31,2016,0000096699
24,https://www.sec.gov/Archives/edgar/data/1077688/000118518516004743/0001185185-16-004743-index.htm,34 KB,2016-05-31,2016,0001077688
28,https://www.sec.gov/Archives/edgar/data/769594/000119312516607105/0001193125-16-607105-index.htm,38 KB,2016-05-31,2016,0000769594
34,https://www.sec.gov/Archives/edgar/data/1046179/000119312516604920/0001193125-16-604920-index.htm,112 KB,2016-05-27,2016,0001046179
40,https://www.sec.gov/Archives/edgar/data/72331/000156459016020172/0001564590-16-020172-index.htm,205 KB,2016-05-31,2016,0000072331
48,https://www.sec.gov/Archives/edgar/data/1100682/000095010316013763/0000950103-16-013763-index.htm,51 KB,2016-05-31,2016,0001100682
56,https://www.sec.gov/Archives/edgar/data/17843/000110465916122572/0001104659-16-122572-index.htm,27 KB,2016-05-23,2016,0000017843
61,https://www.sec.gov/Archives/edgar/data/1294924/000119312516606438/0001193125-16-606438-index.htm,81 KB,2016-05-27,2016,0001294924
69,https://www.sec.gov/Archives/edgar/data/1021162/000102116216000064/0001021162-16-000064-index.htm,70 KB,2016-05-31,2016,0001021162
73,https://www.sec.gov/Archives/edgar/data/1156388/000119312516605548/0001193125-16-605548-index.htm,20 KB,2016-05-27,2016,0001156388
77,https://www.sec.gov/Archives/edgar/data/1009626/000100962616000244/0001009626-16-000244-index.htm,714 KB,2016-05-26,2016,0001009626
80,https://www.sec.gov/Archives/edgar/data/47307/000004730716000029/0000047307-16-000029-index.htm,11 KB,2016-05-13,2016,0000047307
85,https://www.sec.gov/Archives/edgar/data/1287151/000128715116000175/0001287151-16-000175-index.htm,33 KB,2016-05-27,2016,0001287151
91,https://www.sec.gov/Archives/edgar/data/24741/000114036116067687/0001140361-16-067687-index.htm,167 KB,2016-05-31,2016,0000024741
97,https://www.sec.gov/Archives/edgar/data/1637761/000163776116000070/0001637761-16-000070-index.htm,22 KB,2016-05-26,2016,0001637761
100,https://www.sec.gov/Archives/edgar/data/884905/000088490516000155/0000884905-16-000155-index.htm,51 KB,2016-05-31,2016,0000884905
106,https://www.sec.gov/Archives/edgar/data/1001250/000110465916123899/0001104659-16-123899-index.htm,24 KB,2016-05-27,2016,0001001250
111,https://www.sec.gov/Archives/edgar/data/99780/000009978016000229/0000099780-16-000229-index.htm,244 KB,2016-05-31,2016,0000099780
117,https://www.sec.gov/Archives/edgar/data/20629/000002062916000143/0000020629-16-000143-index.htm,23 KB,2016-05-31,2016,0000020629
123,https://www.sec.gov/Archives/edgar/data/10795/000119312516603613/0001193125-16-603613-index.htm,172 KB,2016-05-26,2016,0000010795
129,https://www.sec.gov/Archives/edgar/data/1290109/000119312516607103/0001193125-16-607103-index.htm,108 KB,2016-05-31,2016,0001290109
138,https://www.sec.gov/Archives/edgar/data/55529/000119312516679336/0001193125-16-679336-index.htm,19 KB,2016-08-11,2016,0000055529
143,https://www.sec.gov/Archives/edgar/data/14930/000001493016000218/0000014930-16-000218-index.htm,158 KB,2016-05-27,2016,0000014930
150,https://www.sec.gov/Archives/edgar/data/108516/000119312516606216/0001193125-16-606216-index.htm,305 KB,2016-05-27,2016,0000108516
156,https://www.sec.gov/Archives/edgar/data/1645494/000119312516603507/0001193125-16-603507-index.htm,192 KB,2016-05-26,2016,0001645494
158,https://www.sec.gov/Archives/edgar/data/350846/000110465916124393/0001104659-16-124393-index.htm,514 KB,2016-05-31,2016,0000350846
170,https://www.sec.gov/Archives/edgar/data/1132924/000119312516584600/0001193125-16-584600-index.htm,22 KB,2016-05-10,2016,0001132924
175,https://www.sec.gov/Archives/edgar/data/1377789/000137778916000151/0001377789-16-000151-index.htm,43 KB,2016-05-26,2016,0001377789
185,https://www.sec.gov/Archives/edgar/data/217410/000101968716006507/0001019687-16-006507-index.htm,24 KB,2016-05-31,2016,0000217410
191,https://www.sec.gov/Archives/edgar/data/775158/000089706916000917/0000897069-16-000917-index.htm,500 KB,2016-05-31,2016,0000775158
197,https://www.sec.gov/Archives/edgar/data/719733/000071973316000110/0000719733-16-000110-index.htm,316 KB,2016-05-26,2016,0000719733
204,https://www.sec.gov/Archives/edgar/data/1630805/000163080516000019/0001630805-16-000019-index.htm,437 KB,2016-04-13,2016,0001630805
208,https://www.sec.gov/Archives/edgar/data/96943/000009694316000227/0000096943-16-000227-index.htm,409 KB,2016-05-31,2016,0000096943
214,https://www.sec.gov/Archives/edgar/data/94049/000156459016020147/0001564590-16-020147-index.htm,25 KB,2016-05-31,2016,0000094049
220,https://www.sec.gov/Archives/edgar/data/746598/000074659816000238/0000746598-16-000238-index.htm,477 KB,2016-05-25,2016,0000746598
226,https://www.sec.gov/Archives/edgar/data/1096056/000090342316001069/0000903423-16-001069-index.htm,19 KB,2016-05-31,2016,0001096056
232,https://www.sec.gov/Archives/edgar/data/718877/000110465916124501/0001104659-16-124501-index.htm,91 KB,2016-05-31,2016,0000718877
238,https://www.sec.gov/Archives/edgar/data/34088/000003408816000073/0000034088-16-000073-index.htm,35 KB,2016-05-26,2016,0000034088
243,https://www.sec.gov/Archives/edgar/data/1100441/000119312516602341/0001193125-16-602341-index.htm,35 KB,2016-05-25,2016,0001100441
247,https://www.sec.gov/Archives/edgar/data/1093557/000109355716000556/0001093557-16-000556-index.htm,89 KB,2016-05-31,2016,0001093557
253,https://www.sec.gov/Archives/edgar/data/1030894/000110465916123285/0001104659-16-123285-index.htm,444 KB,2016-05-25,2016,0001030894
260,https://www.sec.gov/Archives/edgar/data/831259/000083125916000077/0000831259-16-000077-index.htm,23 KB,2016-05-26,2016,0000831259
266,https://www.sec.gov/Archives/edgar/data/47217/000110465916123722/0001104659-16-123722-index.htm,717 KB,2016-05-26,2016,0000047217
272,https://www.sec.gov/Archives/edgar/data/49728/000004972816000167/0000049728-16-000167-index.htm,53 KB,2016-05-27,2016,0000049728
278,https://www.sec.gov/Archives/edgar/data/1521036/000119312516608329/0001193125-16-608329-index.htm,34 KB,2016-05-31,2016,0001521036
