,link,size,accession_number,filing_date,year,cik,conformed_name,n_documents_in_filing,documents_in_filing_names
1,https://www.sec.gov/Archives/edgar/data/1474735/000143774918010977/0001437749-18-010977-index.htm,39 KB,0001437749-18-010977,2018-05-31,2018,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
10,https://www.sec.gov/Archives/edgar/data/1415404/000141540418000018/0001415404-18-000018-index.htm,916 KB,0001415404-18-000018,2018-05-29,2018,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
16,https://www.sec.gov/Archives/edgar/data/96699/000117184318004287/0001171843-18-004287-index.htm,37 KB,0001171843-18-004287,2018-05-30,2018,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
32,https://www.sec.gov/Archives/edgar/data/1046179/000119312518176032/0001193125-18-176032-index.htm,144 KB,0001193125-18-176032,2018-05-29,2018,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
38,https://www.sec.gov/Archives/edgar/data/72331/000119312518179411/0001193125-18-179411-index.htm,71 KB,0001193125-18-179411,2018-05-31,2018,0000072331,NORDSON CORP,4,"['FORM SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
52,https://www.sec.gov/Archives/edgar/data/727207/000114420418031179/0001144204-18-031179-index.htm,282 KB,0001144204-18-031179,2018-05-29,2018,0000727207,"Accelerate Diagnostics, Inc",3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
65,https://www.sec.gov/Archives/edgar/data/1689662/000155837018005003/0001558370-18-005003-index.htm,81 KB,0001558370-18-005003,2018-05-30,2018,0001689662,Ardagh Group S.A.,4,"['SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
67,https://www.sec.gov/Archives/edgar/data/1021162/000102116218000020/0001021162-18-000020-index.htm,70 KB,0001021162-18-000020,2018-05-30,2018,0001021162,TRIUMPH GROUP INC,3,"['SD - DECEMBER 31, 2017', 'EXHIBIT 1.01 - CONFLICT MINERALS REPORT', 'Complete submission text file']"
89,https://www.sec.gov/Archives/edgar/data/24741/000156276218000181/0001562762-18-000181-index.htm,385 KB,0001562762-18-000181,2018-05-30,2018,0000024741,CORNING INC /NY,3,"['', '', 'Complete submission text file']"
98,https://www.sec.gov/Archives/edgar/data/884905/000088490518000042/0000884905-18-000042-index.htm,52 KB,0000884905-18-000042,2018-05-31,2018,0000884905,PRAXAIR INC,3,"['PRAXAIR, INC. 2017 FORM SD', 'PRAXAIR, INC. 2017 CONFLICT MINERALS REPORT', 'Complete submission text file']"
109,https://www.sec.gov/Archives/edgar/data/99780/000009978018000105/0000099780-18-000105-index.htm,239 KB,0000099780-18-000105,2018-05-23,2018,0000099780,TRINITY INDUSTRIES INC,4,"['SD', 'EXHIBIT 1.01', '', 'Complete submission text file']"
121,https://www.sec.gov/Archives/edgar/data/10795/000119312518170216/0001193125-18-170216-index.htm,281 KB,0001193125-18-170216,2018-05-22,2018,0000010795,BECTON DICKINSON & CO,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
127,https://www.sec.gov/Archives/edgar/data/1290109/000119312518179457/0001193125-18-179457-index.htm,127 KB,0001193125-18-179457,2018-05-31,2018,0001290109,"LG Display Co., Ltd.",3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
133,https://www.sec.gov/Archives/edgar/data/1020710/000102071018000013/0001020710-18-000013-index.htm,558 KB,0001020710-18-000013,2018-05-31,2018,0001020710,DXP ENTERPRISES INC,3,"['FORM SD', 'EX 1.01', 'Complete submission text file']"
136,https://www.sec.gov/Archives/edgar/data/55529/000119312518171606/0001193125-18-171606-index.htm,19 KB,0001193125-18-171606,2018-05-23,2018,0000055529,KEWAUNEE SCIENTIFIC CORP /DE/,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
141,https://www.sec.gov/Archives/edgar/data/14930/000001493018000091/0000014930-18-000091-index.htm,161 KB,0000014930-18-000091,2018-05-31,2018,0000014930,BRUNSWICK CORP,4,"['2017 CONFLICT MINERALS', 'EXHIBIT 1.01', 'BRUNSWICK LOGO', 'Complete submission text file']"
147,https://www.sec.gov/Archives/edgar/data/108516/000119312518177801/0001193125-18-177801-index.htm,161 KB,0001193125-18-177801,2018-05-30,2018,0000108516,WORTHINGTON INDUSTRIES INC,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
154,https://www.sec.gov/Archives/edgar/data/1645494/000119312518168846/0001193125-18-168846-index.htm,167 KB,0001193125-18-168846,2018-05-21,2018,0001645494,ARRIS International plc,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
173,https://www.sec.gov/Archives/edgar/data/1377789/000137778918000034/0001377789-18-000034-index.htm,43 KB,0001377789-18-000034,2018-05-22,2018,0001377789,"AVIAT NETWORKS, INC.",3,"['SD 2017', 'EXHIBIT 1.01', 'Complete submission text file']"
181,https://www.sec.gov/Archives/edgar/data/1005011/000100501118000005/0001005011-18-000005-index.htm,33 KB,0001005011-18-000005,2018-05-24,2018,0001005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
189,https://www.sec.gov/Archives/edgar/data/775158/000089706918000393/0000897069-18-000393-index.htm,455 KB,0000897069-18-000393,2018-05-31,2018,0000775158,OSHKOSH CORP,3,"['', '', 'Complete submission text file']"
195,https://www.sec.gov/Archives/edgar/data/719733/000071973318000014/0000719733-18-000014-index.htm,299 KB,0000719733-18-000014,2018-05-18,2018,0000719733,KEY TRONIC CORP,3,"['SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
202,https://www.sec.gov/Archives/edgar/data/1630805/000163080518000047/0001630805-18-000047-index.htm,814 KB,0001630805-18-000047,2018-03-28,2018,0001630805,"Babcock & Wilcox Enterprises, Inc.",3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
206,https://www.sec.gov/Archives/edgar/data/96943/000009694318000126/0000096943-18-000126-index.htm,552 KB,0000096943-18-000126,2018-05-31,2018,0000096943,TELEFLEX INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
212,https://www.sec.gov/Archives/edgar/data/94049/000156459018014569/0001564590-18-014569-index.htm,81 KB,0001564590-18-014569,2018-05-30,2018,0000094049,STEPAN CO,3,"['SD', 'EX-1.01', 'Complete submission text file']"
218,https://www.sec.gov/Archives/edgar/data/746598/000074659818000036/0000746598-18-000036-index.htm,535 KB,0000746598-18-000036,2018-05-30,2018,0000746598,BRADY CORP,3,"['SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
230,https://www.sec.gov/Archives/edgar/data/718877/000110465918037153/0001104659-18-037153-index.htm,63 KB,0001104659-18-037153,2018-05-31,2018,0000718877,"Activision Blizzard, Inc.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
241,https://www.sec.gov/Archives/edgar/data/1100441/000119312518171693/0001193125-18-171693-index.htm,44 KB,0001193125-18-171693,2018-05-23,2018,0001100441,"RTI SURGICAL, INC.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
245,https://www.sec.gov/Archives/edgar/data/1093557/000109355718000103/0001093557-18-000103-index.htm,87 KB,0001093557-18-000103,2018-05-31,2018,0001093557,DEXCOM INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
251,https://www.sec.gov/Archives/edgar/data/1030894/000110465918033911/0001104659-18-033911-index.htm,736 KB,0001104659-18-033911,2018-05-17,2018,0001030894,CELESTICA INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
264,https://www.sec.gov/Archives/edgar/data/47217/000004721718000023/0000047217-18-000023-index.htm,738 KB,0000047217-18-000023,2018-05-30,2018,0000047217,HP INC,7,"['SD', 'EXHIBIT 1.01', '', '', '', '', 'Complete submission text file']"
270,https://www.sec.gov/Archives/edgar/data/49728/000004972818000075/0000049728-18-000075-index.htm,332 KB,0000049728-18-000075,2018-05-30,2018,0000049728,IEC ELECTRONICS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
276,https://www.sec.gov/Archives/edgar/data/1521036/000119312518180383/0001193125-18-180383-index.htm,32 KB,0001193125-18-180383,2018-05-31,2018,0001521036,"Lantheus Holdings, Inc.",3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
280,https://www.sec.gov/Archives/edgar/data/6845/000119312518174755/0001193125-18-174755-index.htm,53 KB,0001193125-18-174755,2018-05-25,2018,0000006845,"APOGEE ENTERPRISES, INC.",4,"['SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
288,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000020/0001383395-18-000020-index.htm,352 KB,0001383395-18-000020,2018-05-23,2018,0001383395,SEQUANS COMMUNICATIONS,3,"['FORM SD - CONFLICT MINERALS', 'EXHIBIT 1.01 CONFLICT MINERALS', 'Complete submission text file']"
294,https://www.sec.gov/Archives/edgar/data/883902/000088390218000020/0000883902-18-000020-index.htm,331 KB,0000883902-18-000020,2018-05-24,2018,0000883902,"Cornerstone Building Brands, Inc.",3,"['SD', '', 'Complete submission text file']"
301,https://www.sec.gov/Archives/edgar/data/784199/000139834418008296/0001398344-18-008296-index.htm,30 KB,0001398344-18-008296,2018-05-31,2018,0000784199,CRYOLIFE INC,3,"['', 'CRYOLIFE, INC.', 'Complete submission text file']"
307,https://www.sec.gov/Archives/edgar/data/1122976/000119312518179785/0001193125-18-179785-index.htm,43 KB,0001193125-18-179785,2018-05-31,2018,0001122976,POLYONE CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
315,https://www.sec.gov/Archives/edgar/data/21510/000110465918037214/0001104659-18-037214-index.htm,454 KB,0001104659-18-037214,2018-05-31,2018,0000021510,COHERENT INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
321,https://www.sec.gov/Archives/edgar/data/806172/000117152018000277/0001171520-18-000277-index.htm,23 KB,0001171520-18-000277,2018-05-31,2018,0000806172,SONO TEK CORP,3,"['', '', 'Complete submission text file']"
335,https://www.sec.gov/Archives/edgar/data/746838/000074683818000020/0000746838-18-000020-index.htm,463 KB,0000746838-18-000020,2018-05-29,2018,0000746838,UNISYS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
341,https://www.sec.gov/Archives/edgar/data/829224/000082922418000026/0000829224-18-000026-index.htm,1 MB,0000829224-18-000026,2018-05-31,2018,0000829224,STARBUCKS CORP,4,"['SD', 'EXHIBIT 1.01', '', 'Complete submission text file']"
347,https://www.sec.gov/Archives/edgar/data/1564408/000156459018014818/0001564590-18-014818-index.htm,139 KB,0001564590-18-014818,2018-05-31,2018,0001564408,Snap Inc,3,"['SD', 'EX-1.01', 'Complete submission text file']"
349,https://www.sec.gov/Archives/edgar/data/1043337/000114420418031746/0001144204-18-031746-index.htm,167 KB,0001144204-18-031746,2018-05-30,2018,0001043337,STONERIDGE INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
355,https://www.sec.gov/Archives/edgar/data/1142596/000156459018014826/0001564590-18-014826-index.htm,94 KB,0001564590-18-014826,2018-05-31,2018,0001142596,NUVASIVE INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
365,https://www.sec.gov/Archives/edgar/data/97745/000009774518000021/0000097745-18-000021-index.htm,74 KB,0000097745-18-000021,2018-05-30,2018,0000097745,THERMO FISHER SCIENTIFIC INC.,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
372,https://www.sec.gov/Archives/edgar/data/80420/000008042018000018/0000080420-18-000018-index.htm,395 KB,0000080420-18-000018,2018-05-30,2018,0000080420,POWELL INDUSTRIES INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
378,https://www.sec.gov/Archives/edgar/data/61004/000156459018014778/0001564590-18-014778-index.htm,54 KB,0001564590-18-014778,2018-05-31,2018,0000061004,LGL GROUP INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
384,https://www.sec.gov/Archives/edgar/data/1489096/000148909618000056/0001489096-18-000056-index.htm,38 KB,0001489096-18-000056,2018-05-31,2018,0001489096,"Thermon Group Holdings, Inc.",3,"['FORM SD 2017', 'EXHIBIT 1.01 CONFLICT MINERALS REPORT', 'Complete submission text file']"
390,https://www.sec.gov/Archives/edgar/data/814453/000081445318000050/0000814453-18-000050-index.htm,71 KB,0000814453-18-000050,2018-05-30,2018,0000814453,NEWELL BRANDS INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
396,https://www.sec.gov/Archives/edgar/data/832988/000162828018007237/0001628280-18-007237-index.htm,147 KB,0001628280-18-007237,2018-05-25,2018,0000832988,SIGNET JEWELERS LTD,6,"['SD', 'EXHIBIT 1.01', '', '', '', 'Complete submission text file']"
401,https://www.sec.gov/Archives/edgar/data/310568/000031056818000111/0000310568-18-000111-index.htm,54 KB,0000310568-18-000111,2018-05-31,2018,0000310568,MICROSEMI CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
410,https://www.sec.gov/Archives/edgar/data/1424929/000142492918000026/0001424929-18-000026-index.htm,73 KB,0001424929-18-000026,2018-05-24,2018,0001424929,FOX FACTORY HOLDING CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
